"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","805","has title","webkit","2026-09-07","passed","2026-09-07","","example.spec.js","",""
"","2969","has title","chromium","2026-09-07","passed","2026-09-07","","example.spec.js","",""
"","557","Make task, complete, then delete it","chromium","2026-09-11","passed","2026-09-11","","todos.spec.js","",""
"","2891","Add milk","chromium","2026-09-10","passed","2026-09-10","","todos.spec.js","",""
"","2","Make task, then complete it","firefox","2026-09-11","failed","2026-09-11","","todos.spec.js","",""
"","941","Make task, complete, then delete it","webkit","2026-09-11","passed","2026-09-11","","todos.spec.js","",""
"","2","Make task, complete, then delete it","firefox","2026-09-11","failed","2026-09-11","","todos.spec.js","",""
"","927","has title","firefox","2026-09-07","passed","2026-09-07","","example.spec.js","",""
"","2","Add milk","firefox","2026-09-10","failed","2026-09-10","","todos.spec.js","",""
"","3134","Make task, then complete it","chromium","2026-09-11","passed","2026-09-11","","todos.spec.js","",""
"","2837","Add milk","webkit","2026-09-10","passed","2026-09-10","","todos.spec.js","",""
"","970","Make task, then complete it","webkit","2026-09-11","passed","2026-09-11","","todos.spec.js","",""
